time,event
2026-03-02T11:58:36.009880,poll ok #44 duration_ms=3199 degraded=0 timeout_streak=0
2026-03-02T11:58:37.809934,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:58:39.613154,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:58:39.864367,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:58:41.011934,candidate selected op=points start=0
 duration_ms=1147
2026-03-02T11:58:41.012967,poll ok #45 duration_ms=3203 degraded=0 timeout_streak=0
2026-03-02T11:58:42.810669,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:58:43.971594,candidate selected op=points start=0
=0 timeout_streak=0
2026-03-02T11:58:47.810556,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:58:48.316071,candidate selected op=points start=0
0 timeout_streak=0
2026-03-02T11:58:52.810950,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:58:54.612787,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:58:54.865213,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:58:56.017932,candidate selected op=points start=0
 duration_ms=1152
2026-03-02T11:58:56.018940,poll ok #48 duration_ms=3208 degraded=0 timeout_streak=0
2026-03-02T11:58:57.815800,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:58:59.630476,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:58:59.894245,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:59:01.032092,poll ok #49 duration_ms=3216 degraded=0 timeout_streak=0
2026-03-02T11:59:02.818978,poll start #50
2026-03-02T11:59:02.819964,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:59:04.626826,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
tion: response timeout (1 consecutive)
2026-03-02T11:59:04.891676,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:59:06.030702,candidate selected op=points start=0
 duration_ms=1139
2026-03-02T11:59:06.031206,poll ok #50 duration_ms=3212 degraded=0 timeout_streak=0
2026-03-02T11:59:07.810468,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:59:09.624601,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:59:09.886250,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:59:11.012871,poll ok #51 duration_ms=3202 degraded=0 timeout_streak=0
2026-03-02T11:59:12.816973,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:59:14.620763,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
tion: response timeout (1 consecutive)
2026-03-02T11:59:14.886457,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:59:16.023725,candidate selected op=points start=0
=0 timeout_streak=0
2026-03-02T11:59:17.818939,poll start #53
0 start=0 count=72 attempt=1/2
2026-03-02T11:59:19.627404,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:59:19.892157,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:59:21.033775,candidate selected op=points start=0
 duration_ms=1141
2026-03-02T11:59:21.038100,poll ok #53 duration_ms=3219 degraded=0 timeout_streak=0
2026-03-02T11:59:22.816442,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:59:24.620834,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:59:24.873945,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:59:26.020672,candidate selected op=points start=0
=0 timeout_streak=0
2026-03-02T11:59:27.810738,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:59:28.978220,poll ok #55 duration_ms=1167 degraded=0 timeout_streak=0
2026-03-02T11:59:32.817714,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:59:33.337559,candidate selected op=points start=0
 duration_ms=519
2026-03-02T11:59:33.340409,poll ok #56 duration_ms=522 degraded=0 timeout_streak=0
2026-03-02T11:59:37.823782,poll start #57
0 start=0 count=72 attempt=1/2
2026-03-02T11:59:39.632075,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:59:39.895487,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:59:41.052452,poll ok #57 duration_ms=3228 degraded=0 timeout_streak=0
2026-03-02T11:59:42.816239,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:59:44.619648,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:59:44.870440,send op=points@0 start=0 count=72 attempt=2/2
