time,zone,alarm_type,event,message
2026-02-24T14:48:43.646769,1,invalidSensor,clear,Zone 1: invalid sensor value
2026-02-24T14:48:51.737855,1,stale,raise,Zone 1: stale data

2026-02-24T14:48:54.520669,1,stale,clear,Zone 1: stale data

2026-02-24T14:56:28.320045,1,stale,raise,Zone 1: stale data

2026-02-24T14:56:48.653834,1,invalidSensor,raise,Zone 1: invalid sensor value
2026-02-24T14:56:53.655902,1,stale,clear,Zone 1: stale data
alid sensor value
2026-02-24T14:57:06.739285,1,stale,raise,Zone 1: stale data

2026-02-24T14:57:09.484681,1,offline,clear,Zone 1 is offline
2026-02-24T14:57:28.501969,1,stale,raise,Zone 1: stale data

2026-02-24T14:58:03.659395,1,invalidSensor,raise,Zone 1: invalid sensor value
2026-02-24T14:58:13.644644,1,invalidSensor,clear,Zone 1: invalid sensor value
2026-02-24T14:58:21.738506,1,stale,raise,Zone 1: stale data

2026-02-24T14:58:24.512162,1,stale,clear,Zone 1: stale data

2026-02-24T15:09:35.392129,1,offline,raise,Zone 1 is offline
2026-02-24T15:09:46.910676,1,offline,clear,Zone 1 is offline
2026-02-24T15:10:04.992397,1,stale,raise,Zone 1: stale data

2026-02-24T15:10:07.758465,1,stale,clear,Zone 1: stale data

2026-02-24T15:14:16.922375,1,stale,raise,Zone 1: stale data
2026-02-24T15:14:39.541037,1,stale,clear,Zone 1: stale data
2026-02-24T15:14:47.510878,1,stale,raise,Zone 1: stale data
2026-02-24T15:14:59.584372,1,stale,clear,Zone 1: stale data
2026-02-24T15:15:17.591785,1,stale,raise,Zone 1: stale data
2026-02-24T15:15:21.897634,1,stale,clear,Zone 1: stale data
2026-02-24T15:41:44.989621,1,stale,raise,Zone 1: stale data

2026-02-24T15:41:47.525738,1,stale,clear,Zone 1: stale data

2026-02-24T15:55:09.990720,1,stale,raise,Zone 1: stale data

2026-02-24T15:55:11.999587,1,stale,clear,Zone 1: stale data

2026-02-24T15:57:53.749610,1,stale,raise,Zone 1: stale data
2026-02-24T15:57:57.714914,1,stale,clear,Zone 1: stale data
2026-02-24T16:01:54.990676,1,stale,raise,Zone 1: stale data

2026-02-24T16:01:57.614607,1,stale,clear,Zone 1: stale data

2026-02-24T16:03:23.696263,1,stale,raise,Zone 1: stale data
2026-02-24T16:03:29.753522,1,stale,clear,Zone 1: stale data
2026-02-24T16:03:33.755156,1,stale,raise,Zone 1: stale data
2026-02-24T16:03:57.748192,1,stale,clear,Zone 1: stale data
2026-02-24T16:04:18.821144,1,stale,raise,Zone 1: stale data
2026-02-24T16:04:23.832724,1,stale,clear,Zone 1: stale data
2026-02-24T16:08:39.989712,1,offline,raise,Zone 1 is offline
2026-02-24T16:08:39.990731,1,stale,raise,Zone 1: stale data
2026-02-24T16:08:42.697455,1,stale,clear,Zone 1: stale data

2026-02-24T16:09:28.766860,1,stale,raise,Zone 1: stale data
2026-02-24T16:09:32.710582,1,stale,clear,Zone 1: stale data
2026-02-24T16:09:43.781285,1,stale,raise,Zone 1: stale data
2026-02-24T16:10:02.755074,1,stale,clear,Zone 1: stale data
2026-02-24T16:10:13.822101,1,stale,raise,Zone 1: stale data
2026-02-24T16:10:28.826391,1,stale,clear,Zone 1: stale data
2026-02-24T16:16:03.768055,1,stale,raise,Zone 1: stale data
2026-02-24T16:16:08.774898,1,stale,clear,Zone 1: stale data
2026-02-24T16:16:13.780808,1,stale,raise,Zone 1: stale data
2026-02-24T16:16:22.744605,1,stale,clear,Zone 1: stale data
2026-02-24T16:16:33.812781,1,stale,raise,Zone 1: stale data
2026-02-24T16:16:43.830434,1,stale,clear,Zone 1: stale data
2026-02-24T16:21:28.814761,1,stale,raise,Zone 1: stale data
2026-02-24T16:21:42.789660,1,stale,clear,Zone 1: stale data
2026-02-24T16:21:53.874128,1,stale,raise,Zone 1: stale data
2026-02-24T16:22:07.850394,1,stale,clear,Zone 1: stale data
2026-02-24T16:22:28.925025,1,stale,raise,Zone 1: stale data
2026-02-24T16:22:42.891232,1,stale,clear,Zone 1: stale data
