time,zone,sensor_idx,sensor_value,online,stale
2026-02-24T19:51:11.895468,1,7,0.00,1,0
2026-02-24T19:51:11.895468,1,8,0.00,1,0
2026-02-24T19:51:23.858124,1,0,28.50,1,0
2026-02-24T19:51:23.858124,1,1,27.60,1,0
2026-02-24T19:51:23.858124,1,2,25.30,1,0
2026-02-24T19:51:23.858124,1,3,0.00,1,0
2026-02-24T19:51:23.858124,1,4,0.00,1,0
2026-02-24T19:51:23.858124,1,5,0.00,1,0
2026-02-24T19:51:23.858124,1,6,0.00,1,0
2026-02-24T19:51:23.858124,1,7,0.00,1,0
2026-02-24T19:51:23.858124,1,8,0.00,1,0
2026-02-24T19:51:33.877436,1,0,28.60,1,0
2026-02-24T19:51:33.877436,1,1,27.10,1,0
2026-02-24T19:51:33.877436,1,2,25.30,1,0
2026-02-24T19:51:33.877436,1,3,0.00,1,0
2026-02-24T19:51:33.877436,1,4,0.00,1,0
2026-02-24T19:51:33.877436,1,5,0.00,1,0
2026-02-24T19:51:33.877436,1,6,0.00,1,0
2026-02-24T19:51:33.877436,1,7,0.00,1,0
2026-02-24T19:51:33.877436,1,8,0.00,1,0
2026-02-24T19:51:48.880689,1,0,28.60,1,0
2026-02-24T19:51:48.880689,1,1,27.10,1,0
2026-02-24T19:51:48.880689,1,2,25.30,1,0
2026-02-24T19:51:48.880689,1,3,0.00,1,0
2026-02-24T19:51:48.880689,1,4,0.00,1,0
2026-02-24T19:51:48.880689,1,5,0.00,1,0
2026-02-24T19:51:48.880689,1,6,0.00,1,0
2026-02-24T19:51:48.880689,1,7,0.00,1,0
2026-02-24T19:51:48.880689,1,8,0.00,1,0
2026-02-24T19:52:01.899440,1,0,28.60,1,0
2026-02-24T19:52:01.899440,1,1,27.10,1,0
2026-02-24T19:52:01.899440,1,2,25.30,1,0
2026-02-24T19:52:01.899440,1,3,0.00,1,0
2026-02-24T19:52:01.899440,1,4,0.00,1,0
2026-02-24T19:52:01.899440,1,5,0.00,1,0
2026-02-24T19:52:01.899440,1,6,0.00,1,0
2026-02-24T19:52:01.899440,1,7,0.00,1,0
2026-02-24T19:52:01.899440,1,8,0.00,1,0
2026-02-24T19:52:13.878694,1,0,28.50,1,0
2026-02-24T19:52:13.878694,1,1,27.10,1,0
2026-02-24T19:52:13.878694,1,2,25.30,1,0
2026-02-24T19:52:13.878694,1,3,0.00,1,0
2026-02-24T19:52:13.878694,1,4,0.00,1,0
2026-02-24T19:52:13.878694,1,5,0.00,1,0
2026-02-24T19:52:13.878694,1,6,0.00,1,0
2026-02-24T19:52:13.878694,1,7,0.00,1,0
2026-02-24T19:52:13.878694,1,8,0.00,1,0
2026-02-24T19:52:23.895766,1,0,28.60,1,0
2026-02-24T19:52:23.895766,1,1,27.10,1,0
2026-02-24T19:52:23.895766,1,2,25.40,1,0
2026-02-24T19:52:23.895766,1,3,0.00,1,0
2026-02-24T19:52:23.895766,1,4,0.00,1,0
2026-02-24T19:52:23.895766,1,5,0.00,1,0
2026-02-24T19:52:23.895766,1,6,0.00,1,0
2026-02-24T19:52:23.895766,1,7,0.00,1,0
2026-02-24T19:52:23.895766,1,8,0.00,1,0
2026-02-24T19:52:33.907104,1,0,28.60,1,0
2026-02-24T19:52:33.907104,1,1,27.10,1,0
2026-02-24T19:52:33.907104,1,2,25.40,1,0
2026-02-24T19:52:33.907104,1,3,0.00,1,0
2026-02-24T19:52:33.907104,1,4,0.00,1,0
2026-02-24T19:52:33.907104,1,5,0.00,1,0
2026-02-24T19:52:33.907104,1,6,0.00,1,0
2026-02-24T19:52:33.907104,1,7,0.00,1,0
2026-02-24T19:52:33.907104,1,8,0.00,1,0
2026-02-24T19:52:47.854911,1,0,28.50,1,0
2026-02-24T19:52:47.854911,1,1,27.10,1,0
2026-02-24T19:52:47.854911,1,2,25.20,1,0
2026-02-24T19:52:47.854911,1,3,0.00,1,0
2026-02-24T19:52:47.854911,1,4,0.00,1,0
2026-02-24T19:52:47.854911,1,5,0.00,1,0
2026-02-24T19:52:47.854911,1,6,0.00,1,0
2026-02-24T19:52:47.854911,1,7,0.00,1,0
2026-02-24T19:52:47.854911,1,8,0.00,1,0
2026-02-24T19:52:58.909338,1,0,28.50,1,0
2026-02-24T19:52:58.909338,1,1,12.50,1,0
2026-02-24T19:52:58.909338,1,2,25.30,1,0
2026-02-24T19:52:58.909338,1,3,0.00,1,0
2026-02-24T19:52:58.909338,1,4,0.00,1,0
2026-02-24T19:52:58.909338,1,5,0.00,1,0
2026-02-24T19:52:58.909338,1,6,0.00,1,0
